feature_id,condition_rtn,bits_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,bits_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
224,RTN INT6,6,4,0.9808728054330492,0.0157151442307692,0.013306681629127,5.325643539428711,True,True,False,Magnitude pruning matched INT6,16,4,0.964117362846554,0.0157151442307692,0.013306681629127,5.325643539428711,True,True,False,0.019127194566950778,0.03588263715344597,True,True,False,False,False,False,False,False
225,RTN INT6,6,4,0.9945514323094616,0.0038762019230769,0.0058519834473442,6.910392284393311,True,True,False,Magnitude pruning matched INT6,16,4,0.9929266558599532,0.0038762019230769,0.0058519834473442,6.910392284393311,True,True,False,0.005448567690538364,0.007073344140046789,True,True,False,False,False,False,False,False
241,RTN INT6,6,4,0.9536830269261845,0.0026342147435897,0.0011006192143003,1.66941237449646,True,True,False,Magnitude pruning matched INT6,16,4,0.950077256105348,0.0026342147435897,0.0011006192143003,1.66941237449646,True,True,False,0.04631697307381555,0.04992274389465201,True,True,False,False,False,False,False,False
242,RTN INT6,6,4,0.5804313099976969,0.0042117387820512,0.0005111781136992,0.8105471134185791,True,False,False,Magnitude pruning matched INT6,16,4,0.6916280316481012,0.0042117387820512,0.0005111781136992,0.8105471134185791,True,False,False,0.4195686900023031,0.30837196835189884,False,False,True,True,False,False,True,True
247,RTN INT6,6,4,0.9823871834050216,0.0015775240384615,0.0006924487056377,9.35606861114502,True,True,False,Magnitude pruning matched INT6,16,4,0.9839432581073304,0.0015775240384615,0.0006924487056377,9.35606861114502,True,True,False,0.017612816594978375,0.01605674189266959,True,True,False,False,False,False,False,False
249,RTN INT6,6,4,0.8898678710838057,0.0344851762820512,0.0053609376850848,1.1110236644744873,True,False,False,Magnitude pruning matched INT6,16,4,0.8874262742925558,0.0344851762820512,0.0053609376850848,1.1110236644744873,True,False,False,0.11013212891619428,0.11257372570744417,False,False,True,True,False,False,True,True
258,RTN INT6,6,4,0.8601415418965193,0.0012870592948717,0.0002515939295662,1.5482615232467651,True,False,False,Magnitude pruning matched INT6,16,4,0.8624700442425266,0.0012870592948717,0.0002515939295662,1.5482615232467651,True,False,False,0.13985845810348074,0.1375299557574734,False,False,True,True,False,False,True,True
260,RTN INT6,6,4,0.945452906557547,0.0103565705128205,0.0034065381501419,2.8256285190582275,True,True,False,Magnitude pruning matched INT6,16,4,0.937930542078269,0.0103565705128205,0.0034065381501419,2.8256285190582275,True,True,False,0.05454709344245301,0.06206945792173102,True,True,False,False,False,False,False,False
264,RTN INT6,6,4,0.892061965310661,0.004326923076923,0.0006326190419853,1.7744386196136477,True,False,False,Magnitude pruning matched INT6,16,4,0.8800692334840752,0.004326923076923,0.0006326190419853,1.7744386196136477,True,False,False,0.10793803468933905,0.11993076651592482,False,False,True,True,False,False,True,True
265,RTN INT6,6,4,0.8305586846320006,0.0042067307692307,0.0009613846509287,1.368756890296936,True,False,False,Magnitude pruning matched INT6,16,4,0.8628735828711029,0.0042067307692307,0.0009613846509287,1.368756890296936,True,False,False,0.16944131536799945,0.13712641712889706,False,False,True,True,False,False,True,True
274,RTN INT6,6,4,0.9729253394881696,0.0135216346153846,0.0065910129258647,2.32991361618042,True,True,False,Magnitude pruning matched INT6,16,4,0.9753416856314512,0.0135216346153846,0.0065910129258647,2.32991361618042,True,True,False,0.027074660511830384,0.024658314368548817,True,True,False,False,False,False,False,False
276,RTN INT6,6,4,0.7613054505799114,0.0027894631410256,0.0004498367144081,0.8008991479873657,True,False,False,Magnitude pruning matched INT6,16,4,0.7872873330476516,0.0027894631410256,0.0004498367144081,0.8008991479873657,True,False,False,0.2386945494200886,0.21271266695234836,False,False,True,True,False,False,True,True
